Time,Day,Month,Year,B1,BG1,BG2,BN8,CGP2,CGW1,CGW2,H1,L1,L2,P1,P2,P3,S1,S2,S3,SE,W1,W2,W3
2005-12-19,19,12,2005,983,928,997,722,"1,183","2,014","1,906",997,"1,083",839,"1,340","1,355","1,196","4,228","3,035","2,137","2,486","2,559","1,128","1,736"
2006-01-01,1,1,2006,"1,014",885,944,863,"1,079","1,499","1,826",614,984,791,"1,219","1,305",867,"3,222","2,677","2,911","2,526","2,484","1,119","1,772"
2006-01-17,17,1,2006,"1,010",860,976,770,"1,161","1,385","1,875",974,"1,017",903,"1,190","1,157","1,128","2,580","1,963","2,257","2,019","1,773","1,166","1,696"
2006-02-02,2,2,2006,962,822,"1,145",698,"1,118","1,535","1,530",925,"1,021",740,"1,189","1,167","1,089","1,971","1,457","2,480","2,035","1,948","1,053","1,347"
2006-02-18,18,2,2006,"1,359",779,833,766,"1,280","1,457","1,750","1,156","1,206",884,"1,420","1,269","1,220","2,269","2,078","2,525","2,034","1,726","1,376","1,743"
2006-03-06,6,3,2006,"1,636","1,502","1,792",875,"2,123","1,718","1,942","1,371","1,191",874,"2,327","1,829","1,651","3,406","4,339","3,322","2,644","2,723","1,873","2,313"
2006-03-22,22,3,2006,"2,072","2,245","2,406","1,864","1,893","2,578","2,508","1,492","1,926","1,058","2,446","2,024","2,666","5,185","5,266","3,202","3,614","2,588","2,177","2,705"
2006-04-07,7,4,2006,"4,105","4,388","4,129","4,288","2,440","4,001","3,132","2,330","2,355",957,"2,973","2,434","2,788","6,553","7,439","5,359","4,476","4,571","2,931","3,075"
2006-04-23,23,4,2006,"2,479","2,353","2,667","2,117","1,902","2,992","2,684","1,749","2,354",802,"1,959","2,080","2,204","5,615","4,667","3,512","3,825","3,537","2,116","2,422"
2006-05-09,9,5,2006,"3,056","2,413","3,621","2,746","2,133","2,101","2,816","2,051","3,195",902,"2,293","1,989","2,041","3,842","3,575","4,006","3,455","4,067","2,077","2,319"
